iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
AFG,Asia,Afghanistan,2022/6/15,181236,58,64.571,7710,0,0.143,4549.618,1.456,1.621,193.546,0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,
OWID_AFR,,Africa,2022/6/15,11958596,6682,5257.286,254582,40,31,8706.745,4.865,3.828,185.355,0.029,0.023,,,,,,,,,,,,,,,,,,,526952991,324288378,250728898,25090605,,,38.37,23.61,18.25,1.83,,,,,1373486472,,,,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022/6/15,276821,0,43.286,3497,0,0,96354.807,0,15.067,1217.223,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,,,,
DZA,Africa,Algeria,2022/6/15,265952,9,6.143,6875,0,0,5960.827,0.202,0.138,154.091,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,,,,
AND,Europe,Andorra,2022/6/15,43449,225,32.143,153,0,0,561690.41,2908.705,415.529,1977.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,,,,,,
AGO,Africa,Angola,2022/6/15,99761,0,0,1900,0,0,2939.888,0,0,55.992,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,
AIA,North America,Anguilla,2022/6/15,3374,0,4.571,9,0,0,223074.38,0,302.243,595.041,0,0,,,,,,,,,,,,,,,,,,,23752,10787,10113,2852,,11,157.04,71.32,66.86,18.86,727,4,0.026,,15125,,,,,,,,,,,,,81.88,,,,,,,,
ATG,North America,Antigua and Barbuda,2022/6/15,8537,0,22.714,140,0,0.286,86469.897,0,230.069,1418.037,0,2.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,,,,
ARG,South America,Argentina,2022/6/15,9313453,,,128994,,,204216.312,,,2828.455,,,,,,,,,,,,,,,,,,,,,104592615,41155212,37527594,26226088,2,76589,229.34,90.24,82.29,57.51,1679,1002,0.002,,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,,,,,,
ARM,Asia,Armenia,2022/6/15,423044,0,5.429,8629,0,0,142528.894,0,1.829,2907.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,,,,
ABW,North America,Aruba,2022/6/15,39339,282,148.286,219,3,0.429,366985.4,2630.72,1383.327,2043.006,27.986,3.998,,,,,,,,,,,,,,,,,,,171706,89056,82650,,24,28,160.18,83.08,77.1,,261,12,0.011,,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,,,
OWID_ASI,,Asia,2022/6/15,155063285,130174,118084.571,1440256,310,262.286,33144.193,27.824,25.24,307.849,0.066,0.056,,,,,,,,,,,,,,,,,,,8176191804,3545681205,3287655897,1300449777,,,174.76,75.79,70.27,27.8,,,,,4678444992,,,,,,,,,,,,,,,,,,,,,
