timestamp,value
1799,0
1800,0
1801,0
1802,0
1803,0
1804,7.239576674
1805,7.239576674
1806,7.239576674
1807,7.239576674
1808,7.239576674
1809,7.239576674
1810,7.239576674
1811,0.505636161
1812,0.505636161
1813,0.505636161
1814,0.505636161
1815,0.505636161
1816,0.505636161
1817,0.875283988
1818,0.369647826
1819,0.369647826
1820,0.369647826
1821,0.369647826
1822,0.369647826
1823,0.369647826
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0.606410386
1830,0.606410386
1831,0.606410386
1832,0.606410386
1833,0.606410386
1834,0.606410386
1835,0.606410386
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,2.829276446
1844,2.829276446
1845,2.829276446
1846,3.251376715
1847,3.382120787
1848,3.382120787
1849,3.382120787
1850,0.552844341
1851,0.552844341
1852,0.552844341
1853,0.963622508
1854,0.832878436
1855,0.832878436
1856,1.261739066
1857,1.261739066
1858,1.261739066
1859,1.261739066
1860,0.560445511
1861,0.560445511
1862,0.921048343
1863,0.698157416
1864,0.799755652
1865,0.990575397
1866,10.34350552
1867,17.11036037
1868,26.19754747
1869,29.33828615
1870,31.77469927
1871,34.56174542
1872,43.47046811
1873,42.95365803
1874,46.3431284
1875,45.73686979
1876,49.0163982
1877,58.13660103
1878,63.85857543
1879,69.74761683
1880,75.10077563
1881,72.71204956
1882,78.56413442
1883,84.11832577
1884,81.50487801
1885,78.71716295
1886,75.27485405
1887,66.33167027
1888,64.31605863
1889,55.29013857
1890,50.86777889
1891,53.64999156
1892,57.42571455
1893,63.14300581
1894,68.62008426
1895,88.54153891
1896,100
1897,98.25894201
1898,93.87685202
1899,97.71637453
1900,90.31568134
1901,85.76632263
1902,66.35023421
1903,55.98038163
1904,54.18649797
1905,53.0182917
1906,46.7762907
1907,43.7716589
1908,47.19075438
1909,46.77749508
1910,51.04925963
1911,54.69261558
1912,55.80558495
1913,54.25404943
1914,51.81030653
1915,45.86216189
1916,41.7373503
1917,40.0179767
1918,40.40394957
1919,37.84393761
1920,39.25678335
1921,38.72357339
1922,39.87215066
1923,41.04052226
1924,38.62531069
1925,33.29522187
1926,31.4272141
1927,26.96958951
1928,27.1232643
1929,23.58454868
1930,22.26870022
1931,17.20722237
1932,15.25234428
1933,13.28586687
1934,12.3824798
1935,9.402201208
1936,8.734761726
1937,7.709180769
1938,7.082447219
1939,6.658475329
1940,5.837167639
1941,5.211634641
1942,4.80175918
1943,5.603008363
1944,5.620954169
1945,6.152986705
1946,6.275918351
1947,6.604911294
1948,6.050454764
1949,6.102705746
1950,5.626804636
1951,5.466569102
1952,4.665061114
1953,4.11475042
1954,4.290419866
1955,4.117915316
1956,3.856672892
1957,3.246549238
1958,3.121841092
1959,3.228849887
1960,3.711837755
1961,3.633123574
1962,3.685319094
1963,3.71954407
1964,4.134978243
1965,4.789104865
1966,4.979488603
1967,5.179760404
1968,5.106098069
1969,5.426485241
1970,5.56183296
1971,5.751545391
1972,4.967986801
1973,4.380304762
1974,3.795382714
1975,3.40980256
1976,3.04000682
1977,2.780923768
1978,2.119812572
1979,2.767727993
1980,3.277422792
1981,3.714842112
1982,3.757716073
1983,3.666487073
1984,4.176480677
1985,4.476245129
1986,3.815218308
1987,3.612120104
1988,3.14951396
1989,3.579234116
1990,3.84076022
1991,3.522990497
1992,3.457170209
1993,3.814218566
1994,3.699709707
1995,4.210082829
1996,4.34907316
1997,4.68832041
1998,4.922582777
1999,6.197124312
2000,6.736775674
2001,10.26348594
2002,12.82575517
2003,14.36168913
2004,16.15092345
2005,17.69337758
2006,17.68156695
2007,18.82073359
2008,15.96988909
2009,15.49785528
2010,16.41732088
2011,16.34566685
2012,17.58999624
2013,20.31430621
2014,24.14137538
2015,33.97773032
2016,38.20245436
2017,40.70563676
2018,45.24335409
2019,50.32493277
