timestamp,value
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0.171730931
1844,0.171730931
1845,0.171730931
1846,0.171730931
1847,0.322956566
1848,0.322956566
1849,0.322956566
1850,0.151225635
1851,0.151225635
1852,0.151225635
1853,0.151225635
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0.103392739
1869,0.267722828
1870,0.267722828
1871,0.267722828
1872,0.361166224
1873,0.617345238
1874,0.617345238
1875,0.5139525
1876,0.510664669
1877,0.98232944
1878,1.666111677
1879,2.44343003
1880,2.558293799
1881,2.910257559
1882,3.591884187
1883,4.447418338
1884,4.360076141
1885,3.728533442
1886,2.905180477
1887,3.008588077
1888,3.080315114
1889,2.579224628
1890,2.616794511
1891,2.625537613
1892,3.785048267
1893,5.969382147
1894,6.270911108
1895,9.648654907
1896,15.00988315
1897,16.52117475
1898,19.63465371
1899,21.23471449
1900,21.69013965
1901,22.39774499
1902,20.28158111
1903,17.06576087
1904,16.20680834
1905,14.37268501
1906,13.6719786
1907,13.12760719
1908,15.11202097
1909,15.85677545
1910,15.32193204
1911,15.97214437
1912,16.64874258
1913,16.06256931
1914,14.7965785
1915,11.99504363
1916,10.02205753
1917,10.16121631
1918,10.611437
1919,9.57301749
1920,9.268329279
1921,9.917613905
1922,10.85616346
1923,11.45609518
1924,10.36343354
1925,8.330289791
1926,7.496238043
1927,7.054226156
1928,5.86952347
1929,4.755575045
1930,3.903731211
1931,3.662729072
1932,3.067155308
1933,2.969462565
1934,2.587164689
1935,2.671368476
1936,2.413940349
1937,2.626882489
1938,2.254402078
1939,2.108229785
1940,1.831161131
1941,1.72972348
1942,1.371456175
1943,1.348892351
1944,1.326484561
1945,1.238135519
1946,1.413473402
1947,1.435786839
1948,1.241102649
1949,1.274591099
1950,1.189494265
1951,0.79383292
1952,0.795974509
1953,0.777591943
1954,0.69646004
1955,0.640626072
1956,0.539813587
1957,0.80051105
1958,0.836140942
1959,0.83607076
1960,0.743427922
1961,0.911578741
1962,1.037465705
1963,1.160905304
1964,0.870502206
1965,0.943154102
1966,0.858631785
1967,0.923337177
1968,0.81937667
1969,0.744676749
1970,0.725988357
1971,0.750560875
1972,0.668375775
1973,0.70017855
1974,0.574947919
1975,0.634286072
1976,0.921053119
1977,0.852260092
1978,0.804261162
1979,0.850695114
1980,0.95385607
1981,1.287666236
1982,1.25588055
1983,1.088546864
1984,1.231801042
1985,1.347824368
1986,1.358906646
1987,1.220911364
1988,0.913520616
1989,0.909065632
1990,0.823192808
1991,0.693553369
1992,0.686496617
1993,0.78164285
1994,0.842780492
1995,1.139097495
1996,1.138765927
1997,1.321598192
1998,1.538786138
1999,1.886151941
2000,2.407687597
2001,3.197374159
2002,3.233050256
2003,4.084920212
2004,4.683337369
2005,5.408095939
2006,5.381300072
2007,5.876863028
2008,6.095066134
2009,6.316079818
2010,6.817855455
2011,7.242418126
2012,9.223078396
2013,10.61350341
2014,11.67359904
2015,12.70907754
2016,15.78350377
2017,16.68325581
2018,18.15155493
2019,17.48812917
