timestamp,value
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0.115002706
1854,0.226406243
1855,0.226406243
1856,0.226406243
1857,0.226406243
1858,0.226406243
1859,0.226406243
1860,0.111403537
1861,0
1862,0
1863,0
1864,0
1865,0.40966887
1866,1.588583614
1867,1.690349828
1868,4.411986586
1869,5.341345842
1870,5.663414087
1871,6.553940089
1872,7.030959465
1873,6.536060042
1874,7.031434704
1875,4.520102403
1876,3.590743147
1877,4.944648675
1878,6.140864373
1879,6.385345824
1880,7.894218913
1881,7.588770485
1882,9.080444523
1883,10.20953867
1884,10.58702313
1885,10.34195618
1886,10.22598387
1887,9.029988059
1888,9.427172947
1889,9.733992406
1890,12.38889461
1891,10.81580095
1892,10.16316593
1893,14.12749873
1894,17.80094719
1895,21.27405388
1896,26.16517403
1897,24.09824048
1898,26.23655401
1899,28.75876502
1900,27.49787445
1901,27.04796996
1902,27.25673376
1903,24.39046298
1904,26.14698198
1905,25.05499452
1906,22.65116919
1907,22.59317292
1908,20.59327553
1909,17.30992505
1910,14.93600735
1911,13.02461732
1912,13.47008676
1913,13.25569051
1914,9.827044527
1915,8.346104395
1916,8.846906334
1917,7.969278396
1918,6.752954212
1919,4.867674708
1920,4.498329011
1921,4.266331653
1922,4.245153102
1923,3.053222833
1924,2.838772535
1925,3.18306792
1926,3.096187338
1927,3.084721843
1928,3.776549518
1929,3.21327536
1930,3.671063168
1931,3.262044079
1932,2.73190521
1933,3.188456483
1934,2.476238516
1935,2.081977797
1936,1.926831456
1937,1.524884948
1938,2.221493291
1939,2.061469186
1940,1.604917913
1941,1.604917913
1942,1.307350958
1943,1.307350958
1944,1.003673049
1945,0.148432409
1946,0.541680415
1947,1.077335808
1948,1.442623513
1949,1.559499212
1950,1.800037912
1951,1.771550406
1952,1.771550406
1953,1.378302401
1954,0.842647008
1955,0.813251157
1956,0.811588812
1957,0.571050112
1958,0.544100431
1959,1.2657624
1960,1.522044633
1961,1.522044633
1962,1.27036406
1963,1.375192373
1964,1.521771899
1965,1.569470736
1966,0.995878752
1967,0.813202323
1968,0.813202323
1969,0.808040508
1970,0.669266761
1971,0.60773426
1972,0.720198599
1973,0.657731956
1974,0.584126152
1975,0.760352043
1976,0.760357816
1977,1.003390577
1978,1.004419016
1979,0.836361615
1980,1.144801198
1981,2.059406606
1982,1.95797115
1983,1.878915912
1984,2.238078167
1985,2.448615025
1986,2.506744439
1987,2.112701514
1988,1.349903768
1989,1.621615873
1990,1.694023723
1991,1.010560786
1992,0.84578924
1993,1.021717211
1994,1.660015197
1995,1.73812711
1996,1.503951781
1997,1.828623633
1998,2.136064024
1999,2.225593297
2000,2.093404973
2001,1.935763454
2002,2.314896243
2003,2.432694474
2004,3.498811828
2005,3.54441649
2006,3.934703515
2007,4.104810238
2008,3.783307794
2009,3.605210004
2010,4.15508894
2011,2.919001596
2012,2.825195887
2013,2.575565221
2014,2.894835229
2015,3.522352568
2016,4.947949225
2017,4.862602321
2018,5.517169188
2019,6.442792633
