timestamp,value
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0.141463827
1844,0.141463827
1845,0.141463827
1846,0.141463827
1847,0.272207899
1848,0.272207899
1849,0.272207899
1850,0.130744071
1851,0.130744071
1852,0.130744071
1853,0.234853876
1854,0.213057393
1855,0.213057393
1856,0.213057393
1857,0.213057393
1858,0.213057393
1859,0.213057393
1860,0.108947589
1861,0
1862,0
1863,0
1864,0
1865,0.572459236
1866,2.004030282
1867,2.097252444
1868,4.707401835
1869,5.732184682
1870,6.096651294
1871,6.88446338
1872,7.372144976
1873,7.118723215
1874,7.797094325
1875,5.53310528
1876,4.756403024
1877,6.427768565
1878,8.066585345
1879,9.416669115
1880,10.57975073
1881,10.42102519
1882,12.66179891
1883,14.63125744
1884,14.50423814
1885,13.58029415
1886,11.94378897
1887,11.09292606
1888,11.64512212
1889,10.97777495
1890,12.36187929
1891,11.66829666
1892,12.49255157
1893,17.53968842
1894,19.71902858
1895,26.27263679
1896,36.22690971
1897,37.23396115
1898,42.28383859
1899,46.20445914
1900,46.30912343
1901,46.96478232
1902,43.96352444
1903,37.96958391
1904,37.80705142
1905,34.69957889
1906,32.40153256
1907,31.62759409
1908,33.90475448
1909,33.37923479
1910,31.09475695
1911,31.26224383
1912,32.64455652
1913,31.59446121
1914,28.14561415
1915,22.84970083
1916,19.89171813
1917,19.61038517
1918,19.37090402
1919,16.97617875
1920,16.17898171
1921,16.84140677
1922,18.45247967
1923,18.96654854
1924,17.33834492
1925,14.45304763
1926,13.09905194
1927,12.51748787
1928,10.93963764
1929,8.840185798
1930,7.85579417
1931,7.075368245
1932,5.892530621
1933,5.900959395
1934,5.155820357
1935,5.327314627
1936,4.915594063
1937,4.926644974
1938,4.537353126
1939,4.285023732
1940,3.652299396
1941,3.412237747
1942,2.560901787
1943,2.478355782
1944,2.39947162
1945,2.085740758
1946,2.531825721
1947,2.722077832
1948,2.444849567
1949,2.557505616
1950,2.489047041
1951,1.864694011
1952,1.865247548
1953,1.636229676
1954,1.341676765
1955,1.396132387
1956,1.263171693
1957,1.61248609
1958,1.643786409
1959,1.830607017
1960,1.765406679
1961,2.139845376
1962,2.09125993
1963,2.281848875
1964,1.871036989
1965,1.958501612
1966,1.720425486
1967,1.781983468
1968,1.497763906
1969,1.4079575
1970,1.300471056
1971,1.33817566
1972,1.241801381
1973,1.232499548
1974,1.088407152
1975,1.267955143
1976,1.66578315
1977,1.616724659
1978,1.508231323
1979,1.677446116
1980,1.957653094
1981,2.575305817
1982,2.514717912
1983,2.246016414
1984,2.552959321
1985,2.913523352
1986,2.814457181
1987,2.492785842
1988,1.871721888
1989,1.973021885
1990,1.971207747
1991,1.670604152
1992,1.52995331
1993,1.713409665
1994,2.187618538
1995,2.71560418
1996,3.171812717
1997,3.403834245
1998,3.824721516
1999,4.335652042
2000,5.00760102
2001,6.117022181
2002,6.511753193
2003,6.99549676
2004,9.150936322
2005,9.963782083
2006,10.09785422
2007,10.83844937
2008,10.67195159
2009,10.73940251
2010,11.20152382
2011,10.00469837
2012,11.53485484
2013,12.78620339
2014,14.16472008
2015,15.49348542
2016,18.08308227
2017,19.02588233
2018,20.74192224
2019,20.86738916
