word,time,fre,,,1863,4
AntiVaccination,1863,4,,,1864,0
Antivaccination,1875,1,,,1865,0
antivaccination,1876,1,,,1866,0
antivaccination,1881,2,,,1867,0
antivaccination,1884,2,,,1868,0
antivaccination,1885,2,,,1869,0
AntiVaccination,1885,4,,,1870,0
Antivaccination,1887,1,,,1871,0
antivaccination,1887,1,,,1872,0
AntiVaccination,1887,1,,,1873,0
antivaccination,1889,3,,,1874,0
Antivaccination,1890,3,,,1875,1
antivaccination,1890,4,,,1876,1
AntiVaccination,1890,1,,,1877,0
AntiVaccination,1891,1,,,1878,0
AntiVaccination,1892,3,,,1879,0
antivaccination,1893,1,,,1880,0
AntiVaccination,1894,1,,,1881,2
antivaccination,1895,2,,,1882,0
AntiVaccination,1895,1,,,1883,0
antivaccination,1896,6,,,1884,2
AntiVaccination,1896,1,,,1885,6
antivaccination,1897,4,,,1886,0
antivaccination,1898,21,,,1887,3
Antivaccination,1899,1,,,1888,0
antivaccination,1899,10,,,1889,3
antivaccination,1900,1,,,1890,8
AntiVaccination,1900,1,,,1891,1
antivaccination,1901,1,,,1892,3
AntiVaccination,1901,1,,,1893,1
antivaccination,1902,2,,,1894,1
antivaccination,1903,7,,,1895,3
AntiVaccination,1903,1,,,1896,7
antivaccination,1904,4,,,1897,4
Antivaccination,1905,2,,,1898,21
antivaccination,1905,3,,,1899,11
Antivaccination,1906,5,,,1900,2
antivaccination,1906,4,,,1901,2
Antivaccination,1907,7,,,1902,2
antivaccination,1907,3,,,1903,8
Antivaccination,1908,1,,,1904,4
antivaccination,1908,7,,,1905,5
AntiVaccination,1908,8,,,1906,9
antivaccination,1909,4,,,1907,10
AntiVaccination,1909,5,,,1908,16
antivaccination,1910,1,,,1909,9
AntiVaccination,1910,3,,,1910,4
Antivaccination,1911,6,,,1911,11
antivaccination,1911,5,,,1912,17
Antivaccination,1912,1,,,1913,10
antivaccination,1912,9,,,1914,6
AntiVaccination,1912,7,,,1915,8
antivaccination,1913,8,,,1916,11
AntiVaccination,1913,2,,,1917,10
Antivaccination,1914,1,,,1918,2
antivaccination,1914,2,,,1919,7
AntiVaccination,1914,3,,,1920,16
Antivaccination,1915,3,,,1921,4
antivaccination,1915,5,,,1922,7
Antivaccination,1916,1,,,1923,17
antivaccination,1916,10,,,1924,2
Antivaccination,1917,4,,,1925,9
antivaccination,1917,4,,,1926,7
AntiVaccination,1917,2,,,1927,8
antivaccination,1918,2,,,1928,11
Antivaccination,1919,1,,,1929,5
antivaccination,1919,4,,,1930,15
AntiVaccination,1919,2,,,1931,9
Antivaccination,1920,3,,,1932,5
antivaccination,1920,10,,,1933,8
AntiVaccination,1920,3,,,1934,5
antivaccination,1921,3,,,1935,3
AntiVaccination,1921,1,,,1936,3
Antivaccination,1922,2,,,1937,4
antivaccination,1922,5,,,1938,5
Antivaccination,1923,4,,,1939,3
antivaccination,1923,12,,,1940,6
AntiVaccination,1923,1,,,1941,8
antivaccination,1924,1,,,1942,0
AntiVaccination,1924,1,,,1943,2
Antivaccination,1925,1,,,1944,0
antivaccination,1925,8,,,1945,0
antivaccination,1926,6,,,1946,4
AntiVaccination,1926,1,,,1947,8
antivaccination,1927,8,,,1948,3
Antivaccination,1928,3,,,1949,6
antivaccination,1928,7,,,1950,3
AntiVaccination,1928,1,,,1951,2
Antivaccination,1929,2,,,1952,0
antivaccination,1929,2,,,1953,3
AntiVaccination,1929,1,,,1954,4
antivaccination,1930,11,,,1955,2
AntiVaccination,1930,4,,,1956,8
antivaccination,1931,6,,,1957,1
AntiVaccination,1931,3,,,1958,4
Antivaccination,1932,1,,,1959,5
antivaccination,1932,3,,,1960,20
AntiVaccination,1932,1,,,1961,3
antivaccination,1933,4,,,1962,14
AntiVaccination,1933,4,,,1963,9
antivaccination,1934,4,,,1964,12
AntiVaccination,1934,1,,,1965,8
Antivaccination,1935,1,,,1966,8
antivaccination,1935,2,,,1967,11
Antivaccination,1936,1,,,1968,9
antivaccination,1936,2,,,1969,6
Antivaccination,1937,1,,,1970,3
antivaccination,1937,3,,,1971,5
antivaccination,1938,5,,,1972,6
antivaccination,1939,3,,,1973,2
Antivaccination,1940,2,,,1974,6
antivaccination,1940,4,,,1975,2
Antivaccination,1941,1,,,1976,6
antivaccination,1941,7,,,1977,0
Antivaccination,1943,1,,,1978,6
antivaccination,1943,1,,,1979,37
Antivaccination,1946,1,,,1980,6
antivaccination,1946,3,,,1981,6
Antivaccination,1947,3,,,1982,9
antivaccination,1947,5,,,1983,10
Antivaccination,1948,1,,,1984,37
antivaccination,1948,2,,,1985,5
Antivaccination,1949,1,,,1986,20
antivaccination,1949,5,,,1987,19
antivaccination,1950,3,,,1988,20
Antivaccination,1951,1,,,1989,3
antivaccination,1951,1,,,1990,4
antivaccination,1953,3,,,1991,2
antivaccination,1954,4,,,1992,17
antivaccination,1955,2,,,1993,15
antivaccination,1956,8,,,1994,6
antivaccination,1957,1,,,1995,19
antivaccination,1958,4,,,1996,20
Antivaccination,1959,2,,,1997,46
antivaccination,1959,1,,,1998,36
AntiVaccination,1959,2,,,1999,70
antivaccination,1960,20,,,2000,25
antivaccination,1961,2,,,2001,43
AntiVaccination,1961,1,,,2002,48
Antivaccination,1962,1,,,2003,102
antivaccination,1962,13,,,2004,146
antivaccination,1963,5,,,2005,123
AntiVaccination,1963,4,,,2006,31
antivaccination,1964,12,,,2007,223
antivaccination,1965,5,,,2008,114
AntiVaccination,1965,3,,,,
antivaccination,1966,8,,,,
Antivaccination,1967,8,,,,
antivaccination,1967,3,,,,
Antivaccination,1968,2,,,,
antivaccination,1968,7,,,,
Antivaccination,1969,3,,,,
antivaccination,1969,3,,,,
Antivaccination,1970,1,,,,
antivaccination,1970,2,,,,
antivaccination,1971,4,,,,
AntiVaccination,1971,1,,,,
antivaccination,1972,4,,,,
AntiVaccination,1972,2,,,,
antivaccination,1973,1,,,,
AntiVaccination,1973,1,,,,
Antivaccination,1974,1,,,,
antivaccination,1974,4,,,,
AntiVaccination,1974,1,,,,
antivaccination,1975,1,,,,
AntiVaccination,1975,1,,,,
Antivaccination,1976,3,,,,
antivaccination,1976,3,,,,
antivaccination,1978,5,,,,
AntiVaccination,1978,1,,,,
Antivaccination,1979,2,,,,
antivaccination,1979,30,,,,
AntiVaccination,1979,5,,,,
antivaccination,1980,2,,,,
AntiVaccination,1980,4,,,,
antivaccination,1981,6,,,,
Antivaccination,1982,1,,,,
antivaccination,1982,7,,,,
AntiVaccination,1982,1,,,,
antivaccination,1983,10,,,,
Antivaccination,1984,2,,,,
antivaccination,1984,34,,,,
AntiVaccination,1984,1,,,,
antivaccination,1985,3,,,,
AntiVaccination,1985,2,,,,
Antivaccination,1986,1,,,,
antivaccination,1986,18,,,,
AntiVaccination,1986,1,,,,
Antivaccination,1987,1,,,,
antivaccination,1987,18,,,,
Antivaccination,1988,3,,,,
antivaccination,1988,15,,,,
AntiVaccination,1988,2,,,,
antivaccination,1989,3,,,,
antivaccination,1990,3,,,,
AntiVaccination,1990,1,,,,
antivaccination,1991,2,,,,
Antivaccination,1992,2,,,,
antivaccination,1992,15,,,,
Antivaccination,1993,1,,,,
antivaccination,1993,13,,,,
AntiVaccination,1993,1,,,,
Antivaccination,1994,1,,,,
antivaccination,1994,5,,,,
Antivaccination,1995,2,,,,
antivaccination,1995,13,,,,
AntiVaccination,1995,4,,,,
Antivaccination,1996,3,,,,
antivaccination,1996,14,,,,
AntiVaccination,1996,3,,,,
Antivaccination,1997,2,,,,
antivaccination,1997,41,,,,
AntiVaccination,1997,3,,,,
antivaccination,1998,31,,,,
AntiVaccination,1998,5,,,,
Antivaccination,1999,16,,,,
antivaccination,1999,52,,,,
AntiVaccination,1999,2,,,,
antivaccination,2000,22,,,,
AntiVaccination,2000,3,,,,
Antivaccination,2001,2,,,,
antivaccination,2001,36,,,,
AntiVaccination,2001,5,,,,
Antivaccination,2002,1,,,,
antivaccination,2002,44,,,,
AntiVaccination,2002,3,,,,
Antivaccination,2003,15,,,,
antivaccination,2003,84,,,,
AntiVaccination,2003,3,,,,
Antivaccination,2004,16,,,,
antivaccination,2004,120,,,,
AntiVaccination,2004,10,,,,
Antivaccination,2005,19,,,,
antivaccination,2005,81,,,,
AntiVaccination,2005,23,,,,
Antivaccination,2006,7,,,,
antivaccination,2006,22,,,,
AntiVaccination,2006,2,,,,
Antivaccination,2007,41,,,,
antivaccination,2007,173,,,,
AntiVaccination,2007,9,,,,
Antivaccination,2008,7,,,,
antivaccination,2008,101,,,,
