antivaccination,fre,,,,1846,1
1846,1,1,,,1847,0
1850,1,1,,,1848,0
1856,1,1,,,1849,0
1857,1,1,,,1850,1
1868,6,6,,,1851,0
1869,15,12,,,1852,0
1870,1,1,,,1853,0
1871,27,19,,,1854,0
1872,12,12,,,1855,0
1873,4,3,,,1856,1
1874,9,9,,,1857,1
1875,12,6,,,1858,0
1876,14,12,,,1859,0
1877,9,8,,,1860,0
1878,4,3,,,1861,0
1879,3,3,,,1862,0
1880,27,17,,,1863,0
1881,31,18,,,1864,0
1882,32,28,,,1865,0
1883,33,30,,,1866,0
1884,9,9,,,1867,0
1885,37,33,,,1868,6
1886,32,32,,,1869,15
1887,29,28,,,1870,1
1888,24,20,,,1871,27
1889,13,10,,,1872,12
1890,25,23,,,1873,4
1891,20,18,,,1874,9
1892,34,28,,,1875,12
1893,66,40,,,1876,14
1894,22,14,,,1877,9
1895,48,36,,,1878,4
1896,117,60,,,1879,3
1897,77,47,,,1880,27
1898,169,77,,,1881,31
"1,899,284,118",,,,,1882,32
1900,115,92,,,1883,33
1901,161,71,,,1884,9
1902,159,70,,,1885,37
1903,152,83,,,1886,32
1904,117,71,,,1887,29
1905,127,65,,,1888,24
"1,906,171,103",,,,,1889,13
1907,130,77,,,1890,25
1908,96,64,,,1891,20
1909,118,79,,,1892,34
1910,163,79,,,1893,66
"1,911,223,121",,,,,1894,22
"1,912,141,112",,,,,1895,48
1913,121,78,,,1896,117
1914,153,92,,,1897,77
1915,146,90,,,1898,169
1916,94,65,,,1899,0
1917,54,49,,,1900,115
1918,38,30,,,1901,161
1919,38,29,,,1902,159
1920,110,78,,,1903,152
1921,141,74,,,1904,117
1922,70,63,,,1905,127
1923,42,26,,,1906,0
1924,39,25,,,1907,130
1925,56,42,,,1908,96
1926,33,28,,,1909,118
1927,32,25,,,1910,163
1928,30,24,,,1911,0
1929,16,16,,,1912,0
1930,31,25,,,1913,121
1931,16,16,,,1914,153
1932,15,13,,,1915,146
1933,13,11,,,1916,94
1934,16,9,,,1917,54
1935,6,6,,,1918,38
1936,16,14,,,1919,38
1937,16,10,,,1920,110
1938,20,17,,,1921,141
1939,9,9,,,1922,70
1940,16,16,,,1923,42
1941,11,6,,,1924,39
1942,1,1,,,1925,56
1943,3,1,,,1926,33
1944,9,9,,,1927,32
1945,2,2,,,1928,30
1946,7,7,,,1929,16
1947,17,17,,,1930,31
1948,5,5,,,1931,16
1949,14,14,,,1932,15
1950,10,10,,,1933,13
1951,7,7,,,1934,16
1952,6,6,,,1935,6
1953,7,7,,,1936,16
1954,2,2,,,1937,16
1955,6,6,,,1938,20
1956,8,5,,,1939,9
1957,2,2,,,1940,16
1958,10,10,,,1941,11
1959,3,3,,,1942,1
1960,22,10,,,1943,3
1961,4,4,,,1944,9
1962,16,10,,,1945,2
1963,9,9,,,1946,7
1964,18,15,,,1947,17
1965,12,11,,,1948,5
1966,13,13,,,1949,14
1967,10,9,,,1950,10
1968,10,6,,,1951,7
1969,8,8,,,1952,6
1970,14,11,,,1953,7
1971,8,8,,,1954,2
1972,9,8,,,1955,6
1973,9,8,,,1956,8
1974,12,11,,,1957,2
1975,5,5,,,1958,10
1976,8,8,,,1959,3
1977,7,6,,,1960,22
1978,19,10,,,1961,4
1979,33,5,,,1962,16
1980,7,6,,,1963,9
1981,7,4,,,1964,18
1982,15,9,,,1965,12
1983,25,17,,,1966,13
1984,45,16,,,1967,10
1985,17,15,,,1968,10
1986,19,9,,,1969,8
1987,27,25,,,1970,14
1988,31,19,,,1971,8
1989,11,9,,,1972,9
1990,7,7,,,1973,9
1991,8,8,,,1974,12
1992,26,16,,,1975,5
1993,21,16,,,1976,8
1994,9,9,,,1977,7
1995,25,20,,,1978,19
1996,25,18,,,1979,33
1997,41,26,,,1980,7
1998,47,26,,,1981,7
1999,61,23,,,1982,15
2000,43,28,,,1983,25
2001,44,35,,,1984,45
2002,73,37,,,1985,17
2003,91,31,,,1986,19
2004,154,58,,,1987,27
2005,90,37,,,1988,31
2006,118,48,,,1989,11
2007,247,56,,,1990,7
2008,127,50,,,1991,8
2009,89,60,,,1992,26
2010,152,62,,,1993,21
2011,133,56,,,1994,9
2012,124,76,,,1995,25
2013,201,91,,,1996,25
2014,149,79,,,1997,41
2015,251,77,,,1998,47
"2,016,194,124",,,,,1999,61
"2,017,280,145",,,,,2000,43
"2,018,243,160",,,,,2001,44
2019,274,147,,,2002,73
,,,,,2003,91
,,,,,2004,154
,,,,,2005,90
,,,,,2006,118
,,,,,2007,247
,,,,,2008,127
,,,,,2009,89
,,,,,2010,152
,,,,,2011,133
,,,,,2012,124
,,,,,2013,201
,,,,,2014,149
,,,,,2015,251
,,,,,2016,0
,,,,,2017,0
,,,,,2018,0
,,,,,2019,274
